MeterNumber	Street	BlockLimits	StandardizedAddress	SegmentID	StreetCode	Side	Dist	Manufacturer	Model	Rate	DayFrom	DayTo	HourFrom	HourTo	HourLimit	MinLimit	DateInstlaled	Timer	ST
1229073	N 10	200	200 N 10TH ST	440943	87990	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"I																			"
1229074	N 10	200	200 N 10TH ST	440943	87990	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"I																			"
1229075	N 10	200	200 N 10TH ST	440943	87990	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229076	N 10	200	200 N 10TH ST	440943	87990	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229079	N 9	200	200 N 09TH ST	440989	87970	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229080	N 9	200	200 N 09TH ST	440989	87970	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229081	N 9	200	200 N 09TH ST	440989	87970	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229082	N 9	200	200 N 09TH ST	440989	87970	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229083	N 9	200	200 N 09TH ST	440989	87970	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229084	N 9	200	200 N 09TH ST	440989	87970	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229085	N 9	200	200 N 09TH ST	440989	87970	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"I																			"
1229087	N 9	200	200 N 09TH ST	440989	87970	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229088	N 9	200	200 N 09TH ST	440989	87970	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229089	N 9	200	200 N 09TH ST	440989	87970	W	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229096	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E-HP	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"I																			"
1229097	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229098	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229099	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229100	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229101	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229102	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229103	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229104	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229105	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229106	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229107	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229108	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229109	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229110	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229111	N 9	201	201 N 09TH ST	440989	87970	E	12	D-E	80	2	MON	SAT	0800A	0800P	2		1/1/1982	2HR	"R																			"
1229114	RACE	501	501 RACE ST	441217	67120	N	12	D-E	80	1	SUN	SAT	0700A	0700P	12		1/1/1982	12HR	"I																			"
